clay_pct,country,frost_risk,humidity_pct,lat,lon,mean_temp_c,nuts_region,point_id,rainfall_mm,soil_error,soil_ok,soil_organic_carbon_gkg,soil_ph,temp_std_c,weather_error,weather_ok,weather_stress_ratio,wind_speed_10m_kmh
28.7,France,0.0,61.112,44.425172,2.796563,13.444,,P001,194.545,,True,10.15,7.16,4.488,,True,0.0,11.137
20.9,France,0.0,69.15,49.731864,0.303177,12.3,,P002,14.235,,True,16.936,8.08,2.49,,True,0.0,16.479
20.9,France,0.0,69.221,48.344957,-0.005713,13.068,,P003,121.91,,True,16.936,8.08,4.608,,True,0.0,10.838
17.9,France,0.0,65.383,49.161007,2.515728,12.533,,P004,17.885,,True,17.922,7.95,4.451,,True,0.0,10.454
27.6,France,0.0,66.842,45.268652,0.015468,16.14,,P005,83.22,,True,12.76,6.36,4.742,,True,0.0,9.367
27.4,France,0.0,68.112,44.236068,1.178521,15.714,,P006,122.64,,True,11.194,7.59,4.546,,True,0.0,10.729
22.9,France,0.0,67.483,47.884928,2.562323,13.729,,P007,30.295,,True,16.646,8.02,4.539,,True,0.0,10.542
17.9,France,0.0,63.421,45.947594,4.673498,14.416,,P008,19.71,,True,16.82,8.01,4.588,,True,0.0,7.208
19.9,France,0.0,67.704,47.493342,0.158156,14.577,,P009,246.74,,True,19.662,8.06,4.539,,True,0.0,11.096
20.9,France,0.0,71.667,48.332447,-2.224171,13.133,,P010,48.545,,True,16.936,8.08,4.204,,True,0.0,11.658
